FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP
FA0000999,THE BOTTLE BAR LIQUOR STORE,PR0046087,THE BOTTLE BAR LIQUOR STORE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2642 CRENSHAW BLVD,LOS ANGELES,CA,90016,34.031331460,-118.334903100,OW0005080,BOTTLE BAR INC,2642 CRENSHAW BLVD,LOS ANGELES,CA,90016
FA0001114,CHRIS & PITTS BBQ #6,PR0025736,CHRIS & PITTS BBQ,1641,RESTAURANT (151 + ) SEATS HIGH RISK,9243 LAKEWOOD BLVD,DOWNEY,CA,90240,33.954832380,-118.113868900,OW0007916,CHRIS&PITTS OF LAKEWOOD INC,PO BOX 1246,DOWNEY,CA,90240
FA0001155,FRATERNAL ORDER OF EAGLES,PR0025338,FRATERNAL ORDER OF EAGLES,1637,RESTAURANT (61-150) SEATS MODERATE RISK,13018 W WASHINGTON BLVD,LOS ANGELES,CA,90066,33.993906670,-118.440227000,OW0012318,FRATERNAL ORDER OF EAGLES,13018 WASHINGTON BLVD,LOS ANGELES,CA,90066
FA0001334,HARBOR ROOM BAR,PR0036592,HARBOR ROOM BAR,1630,RESTAURANT (0-30) SEATS LOW RISK,195 CULVER BLVD,PLAYA DEL REY,CA,90293,33.958956600,-118.448616900,OW0025134,"MORRISON,JOANN",195 CULVER BLVD,PLAYA DEL REY,CA,90291
FA0001348,JACK IN THE BOX,PR0036378,JACK IN THE BOX,1634,RESTAURANT (31-60) SEATS MODERATE RISK,9433 RESEDA BLVD,NORTHRIDGE,CA,91324,34.242002880,-118.536284300,OW0026534,OCEAN VIEW FOODS,23801 CALABASAS RD STE 2002,CALABASAS,CA,91302
FA0001371,AVALON SEAFOOD,PR0007502,AVALON SEAFOOD,1632,RESTAURANT (0-30) SEATS HIGH RISK,20 GREEN PLEASURE PIER,AVALON,CA,90704,33.343916000,-118.324754400,OW0003394,AVALON SEAFOOD,PO BOX 2152,AVALON,CA,90704
FA0001401,CHRIS & PITTS BBQ,PR0018030,CHRIS & PITTS BBQ,1638,RESTAURANT (61-150) SEATS HIGH RISK,9839 ARTESIA BLVD,BELLFLOWER,CA,90706,33.875122610,-118.123754600,OW0007914,CHRIS AND PITTS INC,PO BOX 1246,DOWNEY,CA,90240
FA0001404,CLUB LOS GLOBOS,PR0029710,CLUB LOS GLOBOS,1640,RESTAURANT (151 + ) SEATS MODERATE RISK,3040 W SUNSET BLVD,LOS ANGELES,CA,90026,34.083830170,-118.274285500,OW0008384,CLUB LOS GLOBOS CORP,3040 W SUNSET BLVD,LOS ANGELES,CA,90026
FA0001457,HOUSE OF BILLARDS,PR0046004,HOUSE OF BILLIARDS,1631,RESTAURANT (0-30) SEATS MODERATE RISK,14662 VENTURA BLVD,SHERMAN OAKS,CA,91423,34.151457530,-118.452979300,OW0030824,"ROTHMAN,NEFF AND MESKIN",14662 VENTURA BLVD,SHERMAN OAKS,CA,91403
FA0001465,SEE'S CANDIES,PR0039184,SEE'S CANDY SHOP,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",9839 PARAMOUNT BLVD,DOWNEY,CA,90240,33.956097960,-118.128788000,OW0032100,"SEE'S CANDY SHOPS, INC",210 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080
