name,all_names_seen,address,"sources(K=permit-name,O=OSM,V=Overture)",permit_id,is_kbbq,in_city_of_LA,lat,lon
3355 / 3355,3355 / 3355 | 3355 Asian Grill | 3355 Asian grill,1955 TORRANCE BLVD,KOV,FA0311256,False,False,33.83648998,-118.315769
A RI RANG TOFU HOUSE / A RI RANG TOFU HOUSE,A RI RANG TOFU HOUSE / A RI RANG TOFU HOUSE | A Ri Rang Tofu House,529 E VALLEY BLVD 128,KOV,FA0364561,False,False,34.08008134,-118.0930102
AHGASSI GOPCHANG / AHGASSI GOPCHANG,AHGASSI GOPCHANG / AHGASSI GOPCHANG | Ahgassi Gopchang,3744 W 6TH ST,KOV,FA0137538,True,True,34.06328655,-118.3037163
ANJU HOUSE / ANJU HOUSE,ANJU HOUSE / ANJU HOUSE | Anju House,234 S OXFORD AVE,KOV,FA0319225,False,True,34.07015,-118.307582
BAK KUNG / BAK KUNG,BAK KUNG / BAK KUNG | Bak Kung Korean B.B.Q,3700 W OLYMPIC BLVD,KOV,FA0325573,True,True,34.052992991,-118.319131973
BBQ CHICKEN CERRITOS / BBQ CHICKEN CERRITOS,BBQ CHICKEN CERRITOS / BBQ CHICKEN CERRITOS | bb.q Chicken Cerritos | bb.q Chicken,11322 S SOUTH ST,KOV,FA0353164,False,False,33.85701,-118.092693
BBQ CHICKEN DTLA / BBQ CHICKEN DTLA,BBQ CHICKEN DTLA / BBQ CHICKEN DTLA | bb.q Chicken | BB.Q Chicken LA Little Tokyo,442 E 2ND ST,KOV,FA0270345,False,True,34.04722078,-118.2387551
BBQ CHICKEN TEMPLE CITY / BBQ CHICKEN TEMPLE CITY,BBQ CHICKEN TEMPLE CITY / BBQ CHICKEN TEMPLE CITY | bb.q Chicken | Baekjeong Temple City,5709 ROSEMEAD BLVD,KOV,FA0300824,True,False,34.10383816,-118.0737191
BBQ CHUNGDAM / BBQ CHUNGDAM,BBQ CHUNGDAM / BBQ CHUNGDAM | Dream Mong Korean BBQ | Dream Korean BBQ | BBQ Chung Dam,100 S WESTERN AVE,KOV,FA0352249,True,True,34.073422,-118.308671
BBQ STOP / BBQ STOP,BBQ STOP / BBQ STOP | BBQ Stop AYCE | BBQ Stop,20627 GOLDEN SPRINGS DR STE 3A,KOV,FA0165343,True,False,33.99690261,-117.8548187
BBQ+ RICE WEST LA / BBQ + RICE,BBQ+ RICE WEST LA / BBQ + RICE | BBQ+Rice | BBQ+RICE West LA,11086 SANTA MONICA BLVD,KOV,FA0354710,True,True,34.0477573,-118.4435574
BCD TOFU HOUSE / BCD TOFU HOUSE,BCD TOFU HOUSE / BCD TOFU HOUSE | BCD Tofu House,3575 WILSHIRE BLVD,KOV,FA0056292,False,True,34.06189448,-118.3024849
BCD TOFU HOUSE / BCD TOFU HOUSE,BCD TOFU HOUSE / BCD TOFU HOUSE | BCD Tofu House,11710 SOUTH ST # 101,KOV,FA0244698,False,False,33.85843051,-118.0841434
BONCHON / BONCHON,BONCHON / BONCHON | Bonchon Chicken | Bonchon,710 W LAS TUNAS DR # 2,KOV,FA0256381,False,False,34.10238054,-118.1101627
BULGOGI HUT / BULGOGI HUT,BULGOGI HUT / BULGOGI HUT | Bulgogi Hut,3600 WILSHIRE BLVD # 100C,KOV,FA0163121,True,True,34.06170263,-118.3036297
BUTNAL / BUTNAL,BUTNAL / BUTNAL | Butnal | 뉴가주액자 Ga Joo Frame,954 NORTON AVE,KOV,FA0328405,False,True,34.054003,-118.320326
CAFE SEOUL NANDARANG / CAFE SEOUL NANDARANG,CAFE SEOUL NANDARANG / CAFE SEOUL NANDARANG | Nandarang | Nandarang Restaurant & Bar,3815 W 6TH ST,KOV,FA0006953,False,True,34.06368938,-118.3057333
CHIL PO KOREAN RESTAURANT / CHIL PO KOREAN RESTAURANT,CHIL PO KOREAN RESTAURANT / CHIL PO KOREAN RESTAURANT | Chil-Po K-Food | Chil Po Korean Restaurant,17303 S PIONEER BLVD,KOV,FA0059648,False,False,33.87391799,-118.0828126
CHODANG TOFU & BBQ / CHODANG TOFU & BBQ,CHODANG TOFU & BBQ / CHODANG TOFU & BBQ | Cho Dang Tofu & BBQ | Chi Dang Tofu & BBQ,2043 VERDUGO BLVD,KOV,FA0059761,True,False,34.20574111,-118.2211843
CHOSUN GALBEE RESTAURANT / CHOSUN GALBEE RESTAURANT,CHOSUN GALBEE RESTAURANT / CHOSUN GALBEE RESTAURANT | Chosun Galbee,3330 W OLYMPIC BLVD,KOV,FA0009006,True,True,34.05196269,-118.3102431
CHUNG DAM TOFU / CHUNG DAM TOFU,CHUNG DAM TOFU / CHUNG DAM TOFU | Chung Dam | Chung Dam Tofu,18921 NORWALK BLVD,KOV,FA0279789,False,False,33.85956605,-118.0724105
CHUNJU HAN-IL KWAN / CHUNJU HAN-IL KWAN,CHUNJU HAN-IL KWAN / CHUNJU HAN-IL KWAN | Chunju Han Il Kwan | Chunju Han-Il Kwan,3450 W 6TH ST STE #106,KOV,FA0015330,False,True,34.06357331,-118.2970398
CORNER GRILLE KOREAN FUSION / CORNER GRILLE KOREAN FUSION,CORNER GRILLE KOREAN FUSION / CORNER GRILLE KOREAN FUSION | Corner Grille Korean Fusion | Corner Grille,21853 VENTURA BLVD,KOV,FA0308047,False,True,34.16871401,-118.603423
DAEDO KOREAN BBQ / DAEDO KOREAN BBQ,DAEDO KOREAN BBQ / DAEDO KOREAN BBQ | Daedo Skidang | Daedo Sikdang,4001 W 6TH ST,KOV,FA0284548,True,True,34.06376499,-118.310726
"DAMSOT LA, LLC / DAMSOT LA","DAMSOT LA, LLC / DAMSOT LA | Damsot",3377 WILSHIRE BLVD STE 112,KOV,FA0354474,False,True,34.06178578,-118.2975297
DAN SUNG SA / DAN SUNG SA,DAN SUNG SA / DAN SUNG SA | Dan Sung Sa,3317 W 6TH ST,KOV,FA0060619,False,True,34.06373256,-118.2947135
DUMPLING HOUSE / DUMPLING HOUSE,DUMPLING HOUSE / DUMPLING HOUSE | 천하만두 Dumpling House | Dumpling House,3525 W 3RD ST #6,KOV,FA0353521,False,True,34.069341,-118.292496
ESCALA / CANDELARIA,ESCALA / CANDELARIA | Escala | Escala K-town,3451 W 6TH ST,KOV,FA0163047,False,True,34.06370879,-118.2972215
GALBI BROTHERS INC / BROTHERS BBQ / GALBI BROTHERS INC,GALBI BROTHERS INC / BROTHERS BBQ / GALBI BROTHERS INC | Brother's Korean BBQ | Brothers BBQ 형제갈비 | Brothers Galbi,3680 W 6TH ST,KOV,FA0172046,True,False,34.152122,-118.343766
GAM JA GOL / GAM JA GOL,GAM JA GOL / GAM JA GOL | Gam Ja Gol,3003 W OLYMPIC BLVD STE #107,KOV,FA0062521,False,True,34.05266704,-118.3002674
GEN KOREAN BBQ / GEN KOREAN BBQ,GEN KOREAN BBQ / GEN KOREAN BBQ | Gen Korean BBQ | Gen Korean BBQ House,68 W MAIN ST,KOV,FA0025197,True,False,34.09450603,-118.1276108
GEN KOREAN BBQ / GEN KOREAN BBQ,GEN KOREAN BBQ / GEN KOREAN BBQ | Gen Korean BBQ | Gen Korean BBQ House,24301 CRENSHAW BLVD,KOV,FA0162834,True,False,33.80534376,-118.3284656
GEN KOREAN BBQ HOUSE / GEN KOREAN BBQ HOUSE,GEN KOREAN BBQ HOUSE / GEN KOREAN BBQ HOUSE | Gen Korean BBQ | Gen Korean BBQ House,10151 RESEDA BLVD,KOV,FA0202797,True,True,34.25490965,-118.5361129
GEN KOREAN BBQ HOUSE / GEN KOREAN BBQ HOUSE,GEN KOREAN BBQ HOUSE / GEN KOREAN BBQ HOUSE | Gen Korean BBQ | Gen Korean BBQ House,126 N ARTSAKH AVE,KOV,FA0245144,True,False,34.14762046,-118.2538161
GENWA / GENWA,GENWA / GENWA | Genwa Korean BBQ | Genwa Korean BBQ (Mid Wilshire),5115 WILSHIRE BLVD STE A,KOV,FA0024869,True,True,34.06233422,-118.3413418
GO POCHA / GO POCHA,GO POCHA / GO POCHA | Go! Pocha | Go Pocha,401 S VERMONT AVE # 7-8,KOV,FA0062774,False,True,34.06696035,-118.2917028
GOGI / GOGI,GOGI / GOGI | Moo BBQ | Moo Bbq,11746 SOUTH ST,KOV,FA0355167,True,False,33.8583387,-118.0828598
GOGI HOUSE / GOGI HOUSE,GOGI HOUSE / GOGI HOUSE | Gogi House,26524 BOUQUET CANYON RD,KOV,FA0025152,True,False,34.42769876,-118.5365598
GOGOBOP / GOGOBOP,GOGOBOP / GOGOBOP | Gogobop Korean Rice Bar,3456 WILSHIRE BLVD,KOV,FA0250660,False,True,34.06167625,-118.2994739
GOGOBOP / GOGOBOP,GOGOBOP / GOGOBOP | Gogobop | Gogobop Korean Rice Bar,1059 BROXTON AVE,KOV,FA0294260,False,True,34.06139698,-118.446534
GUSHI / GUSHI,GUSHI / GUSHI | Gushi,978 GAYLEY AVE,KOV,FA0063073,False,True,34.06243199,-118.44796
HAE JANG CHON KOREAN BBQ RESTAURANT / HAE JANG CHON KOREAN BBQ RESTAURANT,HAE JANG CHON KOREAN BBQ RESTAURANT / HAE JANG CHON KOREAN BBQ RESTAURANT | Hae Jang Chon | Hae Jang Chon Korean BBQ Restaurant,3821 W 6TH ST,KOV,FA0041599,True,False,34.02847271,-118.1887396
HAK SAN / HAK SAN,HAK SAN / HAK SAN | Hak San | Hak San - Torrance 본점,2216 SEPULVEDA BLVD,KOV,FA0256376,False,False,33.82026793,-118.3206874
HAN KOREAN BBQ / HAN KOREAN BBQ,HAN KOREAN BBQ / HAN KOREAN BBQ | Han Korean BBQ House,201 E MAGNOLIA BLVD STE 281,KOV,FA0302853,True,False,34.183538,-118.312216
HANOO KALBI / HANOO KALBI,HANOO KALBI / HANOO KALBI | Hanoo Kalbi,9711 RESEDA BLVD,KOV,FA0297913,True,True,34.24662401,-118.536485
HANOO KOREAN BBQ / HANOO KOREAN BBQ,HANOO KOREAN BBQ / HANOO KOREAN BBQ | Hanoo Kalbi | Fresh Korean B.B.Q.,17623 SHERMAN WAY,KOV,FA0332555,True,True,34.201464,-118.516962
HANSIK DTLT INC / JIN COOK,HANSIK DTLT INC / JIN COOK | JinCook | Jincook,337 1ST ST,KOV,FA0354404,False,True,34.04972226,-118.2398454
HODORI BBQ & KOREAN CUISINE / HODORI BBQ & KOREAN CUISINE,HODORI BBQ & KOREAN CUISINE / HODORI BBQ & KOREAN CUISINE | Hodori BBQ | Hodori Bbq,400 S BALDWIN AVE STE 2315,KOV,FA0330698,True,False,34.134923,-118.050996
JAWS TOPOKKI / JAWS TOPOKKI,JAWS TOPOKKI / JAWS TOPOKKI | Jaws Topokki,3807 W 6TH ST,KOV,FA0312273,False,True,34.06360149,-118.3057274
JJAMPPONG ZIZON / JJAMPPONG ZIZON,JJAMPPONG ZIZON / JJAMPPONG ZIZON | Jjamppong Zizon | Jjamppong zizon ( 짬뽕 지존 LA ),3446 WILSHIRE BLVD,KOV,FA0330828,False,True,34.061268,-118.299452
JJUKKU JJUKKU & BBQ / JJUKKU JJUKKU & BBQ,JJUKKU JJUKKU & BBQ / JJUKKU JJUKKU & BBQ | Jjukku Jjukku Korean BBQ | Jjukku Jjukku BBQ,3377 WILSHIRE BLVD # 105,KOV,FA0165201,True,True,34.0617982,-118.2975293
JUN WON DAK / JUN WON DAK,JUN WON DAK / JUN WON DAK | Jun Won Dak,4254 1/2 W 3RD ST,KOV,FA0312528,False,True,34.06897,-118.30706
KANG HO DONG BAEKJEONG / KANG HO DONG BAEKJEONG,KANG HO DONG BAEKJEONG / KANG HO DONG BAEKJEONG | Baekjeong | Kang Ho Dong,18900 E GALE AVE # A,KOV,FA0180758,True,True,33.85616924,-118.3012028
KANG NAM RESTAURANT / KANG NAM RESTAURANT,KANG NAM RESTAURANT / KANG NAM RESTAURANT | Kang Nam Restaurant,4103 W OLYMPIC BLVD,KOV,FA0064649,True,True,34.05449631,-118.3219772
KIMBAP PARADISE / KIMBAP PARADISE,KIMBAP PARADISE / KIMBAP PARADISE | Kimbap Paradise,401 S VERMONT AVE UNIT 1-2,KOV,FA0300788,False,True,34.06696701,-118.292195
KIMBAP PARADISE / KIMBAP PARADISE,KIMBAP PARADISE / KIMBAP PARADISE | Kimbap Paradise,1585 SEPULVEDA BLVD STE H,KOV,FA0295317,False,True,33.816543,-118.305855
KING CHANG / KING CHANG,KING CHANG / KING CHANG | King Chang | KingChang-La,3732 W 6TH ST,KOV,FA0297255,True,True,34.06322398,-118.303825
KYOCHON CHICKEN / KYOCHON CHICKEN,KYOCHON CHICKEN / KYOCHON CHICKEN | Kyochon Chicken | KyoChon Chicken,3831 W 6TH ST,KOV,FA0270007,False,True,34.06356053,-118.3061843
LUV DDUK / LUV DDUK,LUV DDUK / LUV DDUK | Luv DDuk | LUV DDUK - K FOOD,12243 ARTESIA BLVD,KOV,FA0325569,False,False,33.873399987,-118.071022024
MARU BOWL-RITTO / MARU BOWL-RITTO,MARU BOWL-RITTO / MARU BOWL-RITTO | Maru Bowl - Ritto | Maru Bowl-Ritto,7574 WINNETKA AVE,KOV,FA0282175,False,True,34.20804489,-118.5709809
MEAT LOVE BBQ / MEAT LOVE BBQ,MEAT LOVE BBQ / MEAT LOVE BBQ | Meat Love Korean BBQ,1145 S WESTERN AVE,KOV,FA0245377,True,True,34.049715,-118.309216
MOM AND BOP / MOM AND BOP,MOM AND BOP / MOM AND BOP | Mom and Bop | Mom & Bop,1707 PICO BLVD,KOV,FA0280466,False,False,34.01791999,-118.4725504
MOOHAN KOREAN BBQ / MOOHAN KOREAN BBQ,MOOHAN KOREAN BBQ / MOOHAN KOREAN BBQ | Moohan KBBQ | Moohan Korean BBQ,3435 WILSHIRE BLVD 123,KOV,FA0332549,True,True,34.062411,-118.298572
NAMSAN / NAMSAN,NAMSAN / NAMSAN | Namsan | Restaurant Namsan,3613 W 6TH ST # B,KOV,FA0297144,False,True,34.06393598,-118.300798
ONDAL RESTAURANT / ONDAL RESTAURANT,ONDAL RESTAURANT / ONDAL RESTAURANT | Ondal seafood | Ondal Crab House,3160 W 8TH ST,KOV,FA0283898,False,True,34.057578982,-118.296910039
OO KOOK BBQ / OO KOOK BBQ,OO KOOK BBQ / OO KOOK BBQ | Oo-Kook Korean BBQ,5405 ROSEMEAD BLVD,KOV,FA0240790,True,False,34.09780998,-118.074018
OO KOOK KOREAN BBQ STORAGE / OO KOOK KOREAN BBQ,OO KOOK KOREAN BBQ STORAGE / OO KOOK KOREAN BBQ | Oo-Kook Korean BBQ | Oo Kook Korean BBQ,3385 W 8TH ST,KOV,FA0067969,True,True,34.05783003,-118.3025457
PINE TREE KOREAN BBQ / PINE TREE KOREAN BBQ,PINE TREE KOREAN BBQ / PINE TREE KOREAN BBQ |  | Pine Tree Korean BBQ,8322 RESEDA BLVD,KOV,FA0028513,True,True,34.22142145,-118.5358786
POCHA EATS / POCHA EATS,POCHA EATS / POCHA EATS | Pocha Eats,13337 ARTESIA BLVD,KOV,FA0331588,False,False,33.874376,-118.047596
RED PALACE #2 / RED PALACE #2,RED PALACE #2 / RED PALACE #2 | Red Palace,18868 NORWALK BLVD,KOV,FA0279944,True,False,33.8599722,-118.0723318
ROAD TO SEOUL / ROAD TO SEOUL,ROAD TO SEOUL / ROAD TO SEOUL | Road to Seoul BBQ | Road to Seoul,1 W MAIN ST,KOV,FA0323168,True,False,34.095224,-118.127055
ROAD TO SEOUL / ROAD TO SEOUL,ROAD TO SEOUL / ROAD TO SEOUL | Road to Seoul | Road to Seoul Korean BBQ (Western),1230 S WESTERN AVE,KOV,FA0275133,True,True,34.04843134,-118.3090169
SEOUL HOUSE OF TOFU / SEOUL HOUSE OF TOFU,SEOUL HOUSE OF TOFU / SEOUL HOUSE OF TOFU | Seoul House of Tofu,2101 SAWTELLE BLVD,KOV,FA0047338,False,True,34.03929489,-118.4424792
SHIK DO RAK NORTHRIDGE / SHIK DO RAK NORTHRIDGE,SHIK DO RAK NORTHRIDGE / SHIK DO RAK NORTHRIDGE | Shik Do Rak,18434 DEVONSHIRE ST,KOV,FA0070415,True,True,34.25703751,-118.5350158
SHILLA RESTAURANT / SHILLA RESTAURANT,SHILLA RESTAURANT / SHILLA RESTAURANT | Shilla | Shilla Restaurant,16944 S WESTERN AVE,KOV,FA0308323,True,False,33.87727201,-118.308804
