facility_id,name,program_name,address,city,zip,permit_type,is_kbbq,osm_match
FA0002200,KOREAN GARDENS RESTAURANT,KOREAN GARDENS RESTAURANT,950 S VERMONT AVE,LOS ANGELES,90006,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0006953,CAFE SEOUL NANDARANG,CAFE SEOUL NANDARANG,3815 W 6TH ST,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,False,Nandarang
FA0007743,B C D TOFU HOUSE,B C D TOFU HOUSE,869 S WESTERN AVE STE #2,LOS ANGELES,90005,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0008614,BCD TOFU HOUSE,BCD TOFU HOUSE,1731 S FULLERTON RD,ROWLAND HEIGHTS,91748,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0008615,BCD TOFU HOUSE,BCD TOFU HOUSE,1607 W SEPULVEDA BLVD,TORRANCE,90501,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0009006,CHOSUN GALBEE RESTAURANT,CHOSUN GALBEE RESTAURANT,3330 W OLYMPIC BLVD,LOS ANGELES,90019,RESTAURANT (151 + ) SEATS HIGH RISK,True,Chosun Galbee
FA0011164,BUDNAMU KOREAN BBQ HOUSE,BUDNAMU KOREAN BBQ HOUSE,809 S ARDMORE AVE,LOS ANGELES,90005,RESTAURANT (151 + ) SEATS HIGH RISK,True,
FA0015330,CHUNJU HAN-IL KWAN,CHUNJU HAN-IL KWAN,3450 W 6TH ST STE #106,LOS ANGELES,90020,RESTAURANT (31-60) SEATS HIGH RISK,False,Chunju Han Il Kwan
FA0018742,JEJU ISLAND,JEJU ISLAND,4100 W PICO BLVD STE #10B,LOS ANGELES,90019,RESTAURANT (31-60) SEATS HIGH RISK,False,Jeju
FA0021158,LA SOO WON GALBI,LA SOO WON GALBI,856 S VERMONT AVE STE C,LOS ANGELES,90005,RESTAURANT (61-150) SEATS HIGH RISK,True,Soowon Galbi
FA0023541,MANNA KOREAN BBQ,MANNA KOREAN BBQ,333 S ALAMEDA ST STE 305,LOS ANGELES,90013,RESTAURANT (151 + ) SEATS HIGH RISK,True,Manna Korean BBQ
FA0024869,GENWA,GENWA,5115 WILSHIRE BLVD STE A,LOS ANGELES,90036,RESTAURANT (61-150) SEATS HIGH RISK,True,Genwa Korean BBQ
FA0025152,GOGI HOUSE,GOGI HOUSE,26524 BOUQUET CANYON RD,SANTA CLARITA,91350,RESTAURANT (61-150) SEATS HIGH RISK,True,Gogi House
FA0025197,GEN KOREAN BBQ,GEN KOREAN BBQ,68 W MAIN ST,ALHAMBRA,91801,RESTAURANT (151 + ) SEATS HIGH RISK,True,Gen Korean BBQ
FA0028513,PINE TREE KOREAN BBQ,PINE TREE KOREAN BBQ,8322 RESEDA BLVD,NORTHRIDGE,91324,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0032261,JUG JUG,JUG JUG,11908 BALBOA BLVD,GRANADA HILLS,91344,RESTAURANT (61-150) SEATS HIGH RISK,False,Jug Jug Sports Bar & Grill
FA0032439,SEOUL SOON DAE HOUSE #2,SEOUL SOON DAE HOUSE #2,928 S WESTERN AVE STE 133,LOS ANGELES,90006,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0032544,KOBAWOO HOUSE,KOBAWOO HOUSE,698 S VERMONT AVE STE 109,LOS ANGELES,90005,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0033601,KOREAN BBQ RESTAURANT AND MARKET,KOREAN BBQ RESTAURANT AND MARKET,44525 10TH ST W,LANCASTER,93534,RESTAURANT (0-30) SEATS HIGH RISK,True,
FA0035532,SURAWON KOREAN BBQ VILLAGE,SURAWON KOREAN BBQ VILLAGE,16448 NORWALK BLVD,CERRITOS,90703,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0041135,NAK WON RICE BAKERY INC,NAK WON RICE BAKERY INC,205 N WESTERN AVE,LOS ANGELES,90004,RESTAURANT (0-30) SEATS MODERATE RISK,False,
FA0041599,HAE JANG CHON KOREAN BBQ RESTAURANT,HAE JANG CHON KOREAN BBQ RESTAURANT,3821 W 6TH ST,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0042066,MYUNG DONG TOFU RESTAURANT,MYUNG DONG TOFU RESTAURANT,20627 GOLDEN SPRINGS DR STE 1-M,DIAMOND BAR,91765,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0047338,SEOUL HOUSE OF TOFU,SEOUL HOUSE OF TOFU,2101 SAWTELLE BLVD,LOS ANGELES,90025,RESTAURANT (31-60) SEATS HIGH RISK,False,Seoul House of Tofu
FA0047416,SEOUL TOFU HOUSE,SEOUL TOFU HOUSE,2139 FOOTHILL BLVD,LA CANADA FLINTRIDGE,91011,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0048116,SEOUL TOFU HOUSE,SEOUL TOFU HOUSE,10201 RESEDA BLVD UNIT #104,NORTHRIDGE,91324,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0048218,SOO RA SANG KOREAN BBQ,SOO RA SANG KOREAN BBQ,15819 GALE AVE,HACIENDA HEIGHTS,91745,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0056292,BCD TOFU HOUSE,BCD TOFU HOUSE,3575 WILSHIRE BLVD,LOS ANGELES,90010,RESTAURANT (61-150) SEATS HIGH RISK,False,BCD Tofu House
FA0057852,AWOOLIM KIMBAP FACTORY,AWOOLIM KIMBAP FACTORY,2825 S DIAMOND BAR BLVD,DIAMOND BAR,91765,RESTAURANT (0-30) SEATS HIGH RISK,False,
